YEAR,ST_CASE,NUM_PEDS,PERSONS,HOUR,ROAD_NAME,MILE_MARKER,SCH_BUS,DEATHS,MOD_YEAR,DR_DRINK,HIT_RUN
2001,10171,0,2,1,HICKMAN RD,12.0,0,1,1998.0,0,0
2001,10171,0,2,1,HICKMAN RD,12.0,0,0,1998.0,0,0
2001,10171,0,2,1,HICKMAN RD,12.0,0,0,1994.0,0,0
2001,10172,1,2,16,SR-144,131.0,0,2,1992.0,1,0
2001,10173,0,3,17,US-27AL (SR 16),3.0,0,0,1993.0,1,2
2001,10174,0,4,17,SR-14 SP,17.0,0,1,2000.0,0,0
2001,10175,0,2,21,SR-315,25.0,0,1,1989.0,0,0
2001,10176,0,2,14,SR-219,54.0,0,1,1977.0,1,0
2001,10177,0,3,24,898,10.0,0,0,1981.0,0,0
2001,10177,0,3,24,898,10.0,0,1,1984.0,0,0
2001,10178,0,2,11,I-20 (SR 402),39.0,0,1,1990.0,0,0
2001,10178,0,2,11,I-20 (SR 402),39.0,0,0,1999.0,0,0
2001,10179,0,1,24,102,11.0,0,2,1995.0,1,0
2001,10180,0,5,15,US-280 (SR 27),86.0,0,1,1987.0,0,0
2001,10180,0,5,15,US-280 (SR 27),86.0,0,0,2001.0,0,0
2001,10180,0,5,15,US-280 (SR 27),86.0,0,0,2000.0,0,0
2001,10180,0,5,15,US-280 (SR 27),86.0,0,0,1998.0,0,0
2001,10181,0,2,9,SR-6,47.0,0,1,1993.0,0,0
2001,10181,0,2,9,SR-6,47.0,0,0,1993.0,0,0
2001,10182,0,1,16,4519,86.0,0,0,1996.0,0,0
2001,10182,0,1,16,4519,86.0,0,1,1988.0,0,0
2001,10182,0,1,16,4519,86.0,0,0,1987.0,0,0
2001,10183,0,3,15,97,10.0,1,1,1999.0,0,0
2001,10183,0,3,15,97,10.0,1,0,1993.0,0,0
2001,10184,1,3,22,SR-76,153.0,0,1,1996.0,0,0
2001,10185,0,2,21,168,44.0,0,1,1988.0,1,0
2001,10186,0,1,3,221,2.0,0,0,1988.0,0,0
2001,10186,0,1,3,221,2.0,0,1,1995.0,0,0
2001,10187,0,1,3,US-19 (SR 11),176.0,0,0,1996.0,0,0
2001,10188,0,3,19,SR-6,47.0,0,1,1992.0,0,0
2001,10188,0,3,19,SR-6,47.0,0,0,1984.0,0,0
2001,10189,0,1,17,97,29.0,0,1,1998.0,0,0
2001,10190,0,4,13,US-1(SR 10),144.0,0,1,1979.0,0,0
2001,10191,0,5,12,SR-105,60.0,0,1,1992.0,0,0
2001,10192,0,1,11,SR-138,12.0,0,1,1999.0,1,0
2001,10192,0,1,11,SR-138,12.0,0,1,1997.0,0,0
2001,10193,0,1,4,162,6.0,0,0,1991.0,0,0
2001,10193,0,1,4,162,6.0,0,1,1980.0,0,0
2001,10194,0,3,13,I-75 (SR 401),22.0,0,1,1990.0,0,0
2001,10195,0,4,16,39,25.0,0,1,1987.0,0,0
2001,10196,1,2,21,SR-61,50.0,0,1,1984.0,0,0
2001,10197,1,5,4,US-23 (SR 15),100.0,0,1,1993.0,0,0
2001,10197,1,5,4,US-23 (SR 15),100.0,0,0,1994.0,0,0
2001,10198,1,2,6,I-75(SR 401),84.0,0,0,1997.0,1,0
2001,10199,0,1,13,386,8.0,0,1,1992.0,0,0
2001,10199,0,1,13,386,8.0,0,0,1992.0,0,0
2001,10199,0,1,13,386,8.0,0,0,1999.0,0,0
2001,10199,0,1,13,386,8.0,0,0,1993.0,0,0
2001,10200,0,3,21,SR-67,175.0,0,1,1984.0,1,0
2001,10201,1,3,23,US-84 (SR 38),93.0,0,1,2001.0,1,0
2001,10202,0,7,21,436,50.0,0,0,1999.0,0,0
2001,10202,0,7,21,436,50.0,0,2,1998.0,0,0
2001,10203,0,6,19,278,52.0,0,1,1997.0,0,0
2001,10203,0,6,19,278,52.0,0,0,2000.0,0,0
2001,10203,0,6,19,278,52.0,0,0,2001.0,0,0
2001,10204,0,3,20,US-1 (SR 4),333.0,0,0,1989.0,0,1
2001,10204,0,3,20,US-1 (SR 4),333.0,0,1,1998.0,0,1
2001,10205,0,2,6,360,60.0,0,0,1997.0,0,0
2001,10205,0,2,6,360,60.0,0,1,1985.0,0,0
2001,10206,0,5,22,I-75 (SR 401),63.0,0,1,1996.0,1,0
2001,10207,0,2,6,SR-225,76.0,0,0,1984.0,0,0
2001,10207,0,2,6,SR-225,76.0,0,1,1998.0,0,0
2001,10208,0,3,7,I-20 (SR 402),10.0,0,2,1997.0,0,0
2001,10208,0,3,7,I-20 (SR 402),10.0,0,0,1994.0,0,0
2001,10209,1,4,20,BROWN AVE,5.0,0,1,2000.0,0,0
2001,10209,1,4,20,BROWN AVE,5.0,0,0,1988.0,0,0
2001,10210,0,1,6,56,0.0,0,1,1995.0,0,0
2001,10210,0,1,6,56,0.0,0,0,1993.0,0,0
2001,10211,1,2,23,I-75 (SR 401),19.0,0,1,1986.0,0,0
2001,10212,0,1,2,I-75 (SR 401),11.0,0,1,1987.0,1,0
2001,10213,0,3,17,SR-338,206.0,0,0,1999.0,0,0
2001,10214,0,2,24,1363,3.0,0,1,1997.0,0,0
2001,10214,0,2,24,1363,3.0,0,0,2000.0,0,0
2001,10215,0,2,13,EAST SEVENTH ST,9.0,0,1,1982.0,1,0
2001,10215,0,2,13,EAST SEVENTH ST,9.0,0,0,1995.0,0,0
2001,10216,0,3,23,I-85 (SR 403),25.0,0,1,1993.0,1,0
2001,10217,0,1,5,SR-101,61.0,0,1,1985.0,0,0
2001,10218,0,1,15,26,17.0,0,1,1979.0,0,0
2001,10218,0,1,15,26,17.0,0,1,1986.0,0,0
2001,10219,0,1,16,194,11.0,0,0,1992.0,0,2
2001,10220,0,5,20,US-441 (SR 24),20.0,0,0,1988.0,0,0
2001,10220,0,5,20,US-441 (SR 24),20.0,0,1,1991.0,0,0
2001,10221,1,2,9,SR-120,40.0,0,1,1988.0,0,0
2001,10221,1,2,9,SR-120,40.0,0,0,1988.0,0,0
2001,10222,0,2,9,SR-53,128.0,0,1,1995.0,1,0
2001,10223,0,10,13,I-95 (SR 405),163.0,0,1,1992.0,0,0
2001,10224,0,1,7,6954,10.0,0,0,1985.0,0,0
2001,10225,1,3,19,WOODBINE ROAD,10.0,0,1,1985.0,1,0
2001,10226,0,1,17,I-16 (SR 404),126.0,0,1,1989.0,0,0
2001,10226,0,1,17,I-16 (SR 404),126.0,0,0,1999.0,0,0
2001,10227,0,4,21,327,0.0,0,1,1993.0,0,0
2001,10227,0,4,21,327,0.0,0,0,2000.0,0,0
2001,10228,0,2,15,MAUPAS AVE,3.0,0,1,1993.0,0,0
2001,10229,0,2,17,770,7.0,0,1,1996.0,0,0
2001,10230,0,26,12,I-20 (SR 402),19.0,0,0,1997.0,0,0
2001,10230,0,26,12,I-20 (SR 402),19.0,0,1,1988.0,0,0
2001,10231,0,2,11,SR-13AL,158.0,0,0,2000.0,1,0
2001,10231,0,2,11,SR-13AL,158.0,0,1,1990.0,0,0
2001,10232,0,3,1,US-23 (SR 155),191.0,0,1,1989.0,0,0
2001,10233,0,4,10,SR-26,3.0,0,1,1997.0,0,0
2001,10233,0,4,10,SR-26,3.0,0,0,2000.0,0,0
2001,10234,1,4,1,SR-260,50.0,0,1,1986.0,0,0
2001,10234,1,4,1,SR-260,50.0,0,0,1998.0,0,0
2001,10235,0,1,15,SR-100,42.0,0,1,2000.0,0,0
2001,10236,0,2,24,913,2.0,0,1,1997.0,1,0
2001,10237,0,2,8,SR-91,19.0,0,2,1979.0,1,0
2001,10238,0,2,11,WEST HOWARD AVE,10.0,0,1,1998.0,0,0
2001,10238,0,2,11,WEST HOWARD AVE,10.0,0,0,1999.0,0,0
2001,10239,0,1,22,763,20.0,0,1,2000.0,0,0
2001,10240,1,3,21,SR-28,65.0,0,2,2000.0,0,0
2001,10241,0,6,16,I-285 (SR 407),275.0,0,0,1993.0,1,0
2001,10241,0,6,16,I-285 (SR 407),275.0,0,1,1989.0,0,0
2001,10241,0,6,16,I-285 (SR 407),275.0,0,0,1997.0,0,0
2001,10242,0,1,20,66,8.0,0,0,1996.0,0,0
2001,10242,0,1,20,66,8.0,0,1,1995.0,0,0
2001,10243,0,1,10,SR-151,101.0,0,1,1989.0,1,0
2001,10243,0,1,10,SR-151,101.0,0,0,1997.0,0,0
2001,10244,1,2,6,5168,13.0,0,1,1989.0,0,0
2001,10244,1,2,6,5168,13.0,0,0,1988.0,0,0
2001,10244,1,2,6,5168,13.0,0,0,2000.0,0,0
2001,10244,1,2,6,5168,13.0,0,0,1999.0,0,0
2001,10245,0,2,22,118,49.0,0,1,1998.0,0,0
2001,10245,0,2,22,118,49.0,0,0,1994.0,0,0
2001,10246,1,2,16,SR-52,42.0,0,1,1995.0,1,0
2001,10246,1,2,16,SR-52,42.0,0,0,1991.0,0,0
2001,10247,0,1,8,232,30.0,0,1,1967.0,1,0
2001,10248,0,1,15,US-76 (SR 282),62.0,0,1,1989.0,1,0
2001,10249,0,2,5,SR-85,65.0,0,1,1999.0,0,0
