YEAR,ST_CASE,PERSONS,HOUR,ROAD_NAME,MILE_MARKER,SCH_BUS,HIT_RUN,MOD_YEAR,DEATHS,DR_DRINK
1982,10280,3,22,JOHNSONFER,38944.0,0,0,1977.0,1,0
1982,10281,2,22,SHAIRSTONR,38944.0,0,0,1972.0,1,0
1982,10282,4,16,5837,38944.0,0,0,1973.0,2,0
1982,10283,2,2,12,118.0,0,0,1971.0,0,0
1982,10283,2,2,12,118.0,0,0,1966.0,1,0
1982,10284,3,11,75,38944.0,0,0,1973.0,0,0
1982,10284,3,11,75,38944.0,0,0,1981.0,1,0
1982,10285,3,22,136,29.0,0,0,1981.0,1,0
1982,10286,1,17,70,134.0,0,0,1969.0,0,0
1982,10287,2,10,11,87.0,0,0,1978.0,1,1
1982,10288,4,16,264,38944.0,0,0,1970.0,1,1
1982,10289,2,17,29,144.0,0,0,1978.0,1,0
1982,10290,1,23,BOOKERAVEN,38944.0,0,0,1974.0,1,0
1982,10290,1,23,BOOKERAVEN,38944.0,0,0,1978.0,0,0
1982,10291,2,19,16,38944.0,0,0,1979.0,1,1
1982,10292,1,24,66,38944.0,0,0,1978.0,1,0
1982,10293,1,1,69,38944.0,0,0,1974.0,1,0
1982,10294,1,19,87,156.0,0,0,1975.0,1,1
1982,10295,1,13,1,34.0,0,0,1979.0,0,0
1982,10296,2,17,FTHILLST,38944.0,0,0,1975.0,2,0
1982,10297,2,18,5,146.0,0,0,1978.0,0,0
1982,10297,2,18,5,146.0,0,0,1981.0,1,0
1982,10298,2,24,I85,38944.0,0,0,1969.0,1,1
1982,10299,2,17,285,38944.0,0,0,1975.0,1,0
1982,10300,1,5,575,38944.0,0,0,1979.0,1,0
1982,10301,3,13,50,161.0,0,0,1974.0,1,0
1982,10302,2,3,21LOOP,60.0,0,0,1977.0,1,0
1982,10303,4,22,128,51.0,0,0,1979.0,1,0
1982,10304,2,14,3,7.0,0,0,1979.0,1,0
1982,10305,2,18,FAIRLEERD,38944.0,0,0,1967.0,0,0
1982,10305,2,18,FAIRLEERD,38944.0,0,0,1981.0,0,0
1982,10305,2,18,FAIRLEERD,38944.0,0,0,1979.0,1,0
1982,10306,1,16,231,38944.0,0,2,1972.0,0,0
1982,10307,3,3,20,888.0,0,0,1973.0,1,1
1982,10308,1,3,LAVISTARD,38944.0,0,0,1974.0,1,1
1982,10309,1,19,150,174.0,0,0,1977.0,1,0
1982,10309,1,19,150,174.0,0,0,1978.0,0,0
1982,10310,2,3,75,38944.0,0,0,1977.0,0,0
1982,10310,2,3,75,38944.0,0,0,1976.0,1,0
1982,10310,2,3,75,38944.0,0,0,1971.0,0,0
1982,10311,2,21,BOHLERRD,38944.0,0,0,1977.0,1,0
1982,10312,3,18,53,111.0,0,0,1979.0,1,0
1982,10313,1,19,301NORTH,646.0,0,0,1977.0,1,0
1982,10314,1,19,19,74.0,0,2,1975.0,0,0
1982,10315,1,24,MARTINLUYH,38944.0,0,0,1975.0,0,0
1982,10315,1,24,MARTINLUYH,38944.0,0,0,1982.0,1,0
1982,10316,5,17,50,117.0,0,0,1964.0,0,0
1982,10317,2,4,25,205.0,0,0,1972.0,1,1
1982,10318,1,2,GA49,95.0,0,0,1972.0,1,1
1982,10319,2,24,KINGRD,38944.0,0,0,1976.0,1,0
1982,10320,2,14,74,160.0,0,0,1980.0,1,1
1982,10321,3,7,SR1,209.0,0,0,1979.0,0,0
1982,10321,3,7,SR1,209.0,0,0,1973.0,1,0
